ID,Sender,Recipient,Day,Month,Year,Place,Language
1,Vincent van Gogh,Theo van Gogh,29,September,1872,The Hague,Dutch
2,Vincent van Gogh,Cornelis Marinus van Gogh,8,March,1877,Dordrecht,Dutch
3,Vincent van Gogh,Theo van Gogh,9,December,1877,Amsterdam,Dutch
4,Vincent van Gogh,Theo van Gogh,5,August,1881,Etten,Dutch
5,Vincent van Gogh,Theo van Gogh,9,October,1884,Nuenen,Dutch
6,Vincent van Gogh,Theo van Gogh,28,November,1885,Antwerp,Dutch
7,Vincent van Gogh,Theo van Gogh,25,October,1886,Paris,French
8,Vincent van Gogh,Emile Bernard,18,March,1888,Arles,French
9,Theo van Gogh,Vincent van Gogh,16,July,1889,Paris,French
10,Vincent van Gogh, Anna van Gogh-Carbentus,13,June,1890,Auvers,Dutch
